DEP|Deprem Mühendisliği ve Afet Yönetimi Enstitü Binası|Ayazağa Yerleşkesi
BEB|Bilişim Enstitüsü Binası|Ayazağa Yerleşkesi
DIB|Yabancı Diller Yüksekokulu Binası|Maçka Yerleşkesi
DZB|Denizcilik Binası|Tuzla Yerleşkesi
EEB|Elektrik-Elektronik Binası|Ayazağa Yerleşkesi
FEB|Fen-Edebiyat Binası|Ayazağa Yerleşkesi
GDB|Gemi İnşaatı ve Deniz Bilimleri Binası|Ayazağa Yerleşkesi
HVZ|Olimpik Havuz|Ayazağa Yerleşkesi
INB|İnşaat Binası|Ayazağa Yerleşkesi
ISB|İşletme Binası|Maçka Yerleşkesi
KSB|Kültür ve Sanat Birliği|Ayazağa Yerleşkesi
KMB|Kimya-Metalürji Binası|Ayazağa Yerleşkesi
KORT|Tenis Kortları|Ayazağa Yerleşkesi
MED|Merkezi Derslik A Binası|Ayazağa Yerleşkesi
MEDB|Merkezi Derslik B Binası (Gölet Derslik Binası)|Ayazağa Yerleşkesi
MDB|Maden Binası|Ayazağa Yerleşkesi
MIAB|Müzik İleri Araştırmalar Merkezi|Maçka Yerleşkesi
MKB|Makina Binası|Gümüşsuyu Prof. Dr. Necmettin ERBAKAN Yerleşkesi
MMB|Mimarlık Binası|Taşkışla Yerleşkesi
MOB|Motorlar Binası|Ayazağa Yerleşkesi
PYB|Proje Yönetim Merkezi|Ayazağa Yerleşkesi
RSLN-M|Ruhi Sarıalp Seminer Salonu-Beden Eğitimi Bölümü|Ayazağa Yerleşkesi
SLN-M|Spor Salonu-Beden Eğitimi Bölümü|Ayazağa Yerleşkesi
SLN-G|Spor Salonu|Gümüşsuyu Prof. Dr. Necmettin ERBAKAN Yerleşkesi
SDKM|Süleyman Demirel Kültür Merkezi Binası|Ayazağa Yerleşkesi
SMB|Spor Merkezi Binası|Ayazağa Yerleşkesi
STD|İTÜ Olimpik Stadyumu|Ayazağa Yerleşkesi
SYM|Sağlıklı Yaşam Merkezi|Ayazağa Yerleşkesi
UUB|Uçak ve Uzay Bilimleri Binası|Ayazağa Yerleşkesi
UZEM|Uzaktan Eğitim Merkezi Binası|Ayazağa Yerleşkesi
TMB|Konservatuvar Binası|Maçka Yerleşkesi
YDB|Yapı Deprem Binası|Ayazağa Yerleşkesi
MOBGAM|Dr. Orhan Öcalgiray Moleküler Biyoloji-Biyoteknoloji & Genetik Araştırmalar Merkezi|Ayazağa Yerleşkesi
ENB|Enerji Binası|Ayazağa Yerleşkesi
HLB|Hidrolik Laboratuvarı Binası|Ayazağa Yerleşkesi
AYB|Afet Yönetim Binası|
AYBE|Avrasya Yer Bilimleri Enstitüsü|
BBB|Bilgisayar ve Bilişim Binası|
BPB|Bakü Protokol Binası|
DMB|Denizcilik Meslek Y.O. Binası|
DZB-AKD|Akademik Bina|
DZB-ATL|Atölyeler Binası|
DZB-B|Denizcilik B Blok|
DZB-C|Denizcilik C Blok|
DZB-D|Denizcilik D Blok|
DZB-DG|Deniz Güvenlik|
DZB-KULE|Kule Binası|
DZB-LAB|Yemekhane Üstü Laboratuvar Katı|
DZB-SEM|Eğitim ve Belgelendirme Birimi|
DZB-SIM|Simülatörler Merkezi|
DZB-TG|Tayfun Günerhan Sosyal Binası|
HDB|Hidrolik Binası|
KORT-G|Tenis Kortu - Gümüşsuyu|
MEDC|Merkezi Derslik C Binası|
MSB|Maçka Silahhane Binası|
OKB|Öğrenci Kültür Binası|
Online/Çevrimiçi|Online/Çevrimiçi|
SBB|Sosyal Bilimler Enstitüsü|
SLN|Spor Salonu - Ayazağa|
SLN-V|Ayazağa Vadi Yurdu Spor Salonu|
STD-G|Futbol Stadı - Gümüşsuyu|
TRS|Trisonik Laboratuvarı Binası|
undeclared|İlgili Bölümce Açıklanacak|
YDY|Yabancı Diller Yüksekokulu|
