SAO|Siber Güvenlik Analistliği ve Operatörlüğü|Siber Güvenlik Meslek Yüksekokulu|OL
BLG|Bilgisayar Mühendisliği Lisans|Bilgisayar ve Bilişim Fakültesi|LS
BLGE|Bilgisayar Mühendisliği (İngilizce) Lisans|Bilgisayar ve Bilişim Fakültesi|LS
CES|Bilgisayar Mühendisliği (İngilizce) UOLP (Saraybosna-IUS)|Bilgisayar ve Bilişim Fakültesi|LS
SBL|Bilişim Sistemleri Mühendisliği (İngilizce) UOLP (SUNY-Binghamton University)|Bilgisayar ve Bilişim Fakültesi|LS
SECE|Siber Güvenlik Mühendisliği (İngilizce) Lisans|Bilgisayar ve Bilişim Fakültesi|LS
YZVE|Yapay Zeka ve Veri Mühendisliği (İngilizce) Lisans|Bilgisayar ve Bilişim Fakültesi|LS
DUI|Deniz Ulaştırma İşletme Mühendisliği Lisans|Denizcilik Fakültesi|LS
DUIE|Deniz Ulaştırma İşletme Mühendisliği (İngilizce) Lisans|Denizcilik Fakültesi|LS
GMI|Gemi Makinaları İşletme Mühendisliği Lisans|Denizcilik Fakültesi|LS
GMIE|Gemi Makinaları İşletme Mühendisliği (İngilizce) Lisans|Denizcilik Fakültesi|LS
SDU|Deniz Ulaştırma İşletme Mühendisliği (İngilizce) UOLP (SUNY-Maritime College)|Denizcilik Fakültesi|LS
SGM|Gemi Makinaları İşletme Mühendisliği (İngilizce) UOLP (SUNY-Maritime College)|Denizcilik Fakültesi|LS
EHB|Elektronik ve Haberleşme Mühendisliği Lisans|Elektrik - Elektronik Fakültesi|LS
EHBE|Elektronik ve Haberleşme Mühendisliği (İngilizce) Lisans|Elektrik - Elektronik Fakültesi|LS
EHN|Elektronik ve Haberleşme Mühendisliği (İngilizce) UOLP (ABD-NJIT)|Elektrik - Elektronik Fakültesi|LS
EHS|Elektronik ve Haberleşme Mühendisliği (İngilizce) UOLP (Saraybosna-IUS)|Elektrik - Elektronik Fakültesi|LS
ELE|Elektronik Mühendisliği Lisans|Elektrik - Elektronik Fakültesi|LS
ELH|Elektronik ve Haberleşme Mühendisliği (ELH) Lisans|Elektrik - Elektronik Fakültesi|LS
ELK|Elektrik Mühendisliği Lisans|Elektrik - Elektronik Fakültesi|LS
ELKE|Elektrik Mühendisliği (İngilizce) Lisans|Elektrik - Elektronik Fakültesi|LS
KOM|Kontrol ve Otomasyon Mühendisliği Lisans|Elektrik - Elektronik Fakültesi|LS
KOME|Kontrol ve Otomasyon Mühendisliği (İngilizce) Lisans|Elektrik - Elektronik Fakültesi|LS
KON|Kontrol Mühendisliği Lisans|Elektrik - Elektronik Fakültesi|LS
ROS|Robotik ve Otonom Sistemleri Mühendisliği Lisans|Elektrik - Elektronik Fakültesi|LS
ROSE|Robotik ve Otonom Sistemleri Mühendisliği (İngilizce) Lisans|Elektrik - Elektronik Fakültesi|LS
TEL|Telekomünikasyon Mühendisliği Lisans|Elektrik - Elektronik Fakültesi|LS
BIO|Moleküler Biyoloji ve Genetik Lisans|Fen - Edebiyat Fakültesi|LS
BIOE|Moleküler Biyoloji ve Genetik (İngilizce) Lisans|Fen - Edebiyat Fakültesi|LS
FIZ|Fizik Mühendisliği Lisans|Fen - Edebiyat Fakültesi|LS
FIZE|Fizik Mühendisliği (İngilizce) Lisans|Fen - Edebiyat Fakültesi|LS
KIM|Kimya Lisans|Fen - Edebiyat Fakültesi|LS
KIME|Kimya (İngilizce) Lisans|Fen - Edebiyat Fakültesi|LS
MAT|Matematik Mühendisliği Lisans|Fen - Edebiyat Fakültesi|LS
MATE|Matematik Mühendisliği (İngilizce) Lisans|Fen - Edebiyat Fakültesi|LS
